name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binary_trees_write,julia,1,15,633,0.836,688,0,24% 24% 30% 22% 97% 22% 19% 22%,0.371
binary_trees_write,julia,1,15,633,0.825,191284,0,74% 45% 73% 20% 74% 44% 34% 48%,0.437
binary_trees_write,julia,1,15,633,0.848,732,0,41% 38% 26% 24% 42% 36% 76% 34%,0.385
binary_trees_write,julia,1,15,633,0.781,756,0,97% 29% 14% 19% 22% 41% 16% 19%,0.371
binary_trees_write,julia,1,15,633,0.784,692,0,75% 19% 21% 18% 43% 19% 19% 16%,0.371
binary_trees_write,julia,1,15,633,0.843,728,0,24% 21% 18% 19% 95% 19% 18% 19%,0.377
binary_trees_write,julia,1,15,633,0.845,740,0,18% 18% 95% 17% 18% 19% 21% 19%,0.380
binary_trees_write,julia,1,15,633,0.837,688,0,19% 22% 19% 21% 17% 92% 19% 18%,0.372
binary_trees_write,julia,1,15,633,0.837,724,0,21% 19% 24% 19% 19% 17% 95% 19%,0.372
binary_trees_write,julia,1,15,633,0.837,728,0,92% 19% 19% 19% 28% 21% 19% 21%,0.372
binary_trees_no_mp,python,1,15,713,1.052,11056,0,25% 34% 41% 29% 30% 50% 70% 35%,1.053
binary_trees_no_mp,python,1,15,713,1.025,11240,0,8% 19% 11% 93% 14% 15% 13% 17%,1.027
binary_trees_no_mp,python,1,15,713,0.976,10884,0,1% 1% 3% 2% 1% 1% 98% 0%,0.977
binary_trees_no_mp,python,1,15,713,0.970,10736,0,0% 0% 0% 100% 1% 0% 0% 3%,0.971
binary_trees_no_mp,python,1,15,713,1.014,11252,0,55% 1% 9% 2% 54% 2% 4% 1%,1.015
binary_trees_no_mp,python,1,15,713,0.972,10776,0,1% 2% 0% 49% 2% 2% 0% 52%,0.973
binary_trees_no_mp,python,1,15,713,0.967,10888,0,100% 1% 0% 0% 0% 1% 0% 1%,0.967
binary_trees_no_mp,python,1,15,713,0.974,10796,0,98% 1% 1% 0% 3% 0% 0% 1%,0.975
binary_trees_no_mp,python,1,15,713,0.968,10800,0,93% 1% 1% 1% 7% 1% 1% 0%,0.969
binary_trees_no_mp,python,1,15,713,0.966,10780,0,45% 0% 0% 2% 55% 0% 2% 1%,0.967
binary_trees_ref,julia,1,15,786,0.864,760,0,18% 89% 24% 21% 22% 34% 26% 24%,0.398
binary_trees_ref,julia,1,15,786,0.778,696,0,38% 45% 56% 32% 37% 77% 90% 22%,0.395
binary_trees_ref,julia,1,15,786,0.815,692,0,33% 74% 35% 24% 34% 41% 34% 29%,0.394
binary_trees_ref,julia,1,15,786,0.707,696,0,37% 29% 74% 46% 36% 26% 49% 26%,0.386
binary_trees_ref,julia,1,15,786,0.846,692,0,18% 16% 100% 21% 16% 17% 16% 18%,0.382
binary_trees_ref,julia,1,15,786,0.850,752,0,18% 21% 28% 18% 20% 22% 89% 18%,0.386
binary_trees_ref,julia,1,15,786,0.841,732,0,95% 18% 19% 21% 19% 19% 21% 18%,0.382
binary_trees_ref,julia,1,15,786,0.853,684,0,18% 18% 97% 18% 18% 20% 21% 22%,0.391
binary_trees_ref,julia,1,15,786,0.791,756,0,23% 21% 18% 26% 22% 22% 97% 21%,0.388
binary_trees_ref,julia,1,15,786,0.849,728,0,18% 18% 21% 16% 16% 97% 21% 16%,0.383
binary_trees_no_mp,julia,1,15,626,0.850,696,0,18% 97% 23% 18% 19% 24% 18% 33%,0.382
binary_trees_no_mp,julia,1,15,626,0.763,688,0,72% 74% 29% 32% 47% 30% 32% 54%,0.378
binary_trees_no_mp,julia,1,15,626,0.836,728,0,76% 41% 24% 38% 42% 22% 26% 30%,0.371
binary_trees_no_mp,julia,1,15,626,0.837,732,0,79% 22% 22% 19% 37% 41% 19% 21%,0.371
binary_trees_no_mp,julia,1,15,626,0.836,684,0,22% 68% 22% 19% 17% 51% 22% 17%,0.370
binary_trees_no_mp,julia,1,15,626,0.839,684,0,100% 16% 19% 19% 19% 16% 18% 18%,0.374
binary_trees_no_mp,julia,1,15,626,0.828,740,0,17% 24% 21% 21% 97% 19% 19% 19%,0.370
binary_trees_no_mp,julia,1,15,626,0.830,740,0,18% 21% 92% 21% 16% 18% 26% 16%,0.375
binary_trees_no_mp,julia,1,15,626,0.837,760,0,19% 17% 21% 17% 19% 17% 100% 22%,0.371
binary_trees_no_mp,julia,1,15,626,0.841,740,0,17% 18% 97% 21% 19% 18% 16% 18%,0.375
