name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
fasta_no_resumable,julia,1,1000000,962,1.355,271100,0,9% 9% 17% 10% 9% 98% 8% 7%,0.901
fasta_no_resumable,julia,1,1000000,962,1.360,267344,0,85% 16% 12% 8% 22% 9% 8% 9%,0.912
fasta_no_resumable,julia,1,1000000,962,1.354,272204,0,62% 16% 8% 8% 46% 13% 10% 7%,0.898
fasta_no_resumable,julia,1,1000000,962,1.356,268376,0,93% 13% 11% 12% 16% 8% 10% 12%,0.915
fasta_no_resumable,julia,1,1000000,962,1.378,259732,0,13% 18% 14% 38% 13% 18% 15% 76%,0.937
fasta_no_resumable,julia,1,1000000,962,1.355,272252,0,10% 65% 9% 9% 8% 42% 12% 12%,0.902
fasta_no_resumable,julia,1,1000000,962,1.363,269472,0,9% 18% 44% 8% 9% 8% 64% 8%,0.908
fasta_no_resumable,julia,1,1000000,962,1.369,267260,0,11% 8% 8% 53% 14% 9% 9% 53%,0.914
fasta_no_resumable,julia,1,1000000,962,1.349,272828,0,14% 8% 91% 9% 10% 9% 16% 8%,0.895
fasta_no_resumable,julia,1,1000000,962,1.348,273640,0,10% 9% 17% 9% 9% 99% 9% 9%,0.894
fasta_ref,julia,1,1000000,1564,0.763,740,0,27% 100% 26% 24% 23% 23% 28% 24%,0.295
fasta_ref,julia,1,1000000,1564,0.766,732,0,97% 27% 23% 23% 23% 24% 23% 21%,0.300
fasta_ref,julia,1,1000000,1564,0.763,756,0,23% 27% 24% 100% 24% 27% 23% 24%,0.296
fasta_ref,julia,1,1000000,1564,0.765,692,0,24% 23% 24% 100% 23% 24% 23% 24%,0.298
fasta_ref,julia,1,1000000,1564,0.751,760,0,27% 21% 100% 21% 27% 27% 24% 24%,0.292
fasta_ref,julia,1,1000000,1564,0.758,688,0,24% 35% 23% 24% 25% 90% 24% 24%,0.292
fasta_ref,julia,1,1000000,1564,0.761,760,0,97% 24% 24% 26% 28% 21% 21% 23%,0.296
fasta_ref,julia,1,1000000,1564,0.762,696,0,27% 29% 23% 97% 26% 24% 26% 24%,0.298
fasta_ref,julia,1,1000000,1564,0.747,696,0,24% 29% 48% 23% 21% 26% 70% 30%,0.297
fasta_ref,julia,1,1000000,1564,0.761,756,0,97% 23% 23% 24% 23% 24% 26% 24%,0.300
fasta,julia,1,1000000,919,7.049,309424,0,6% 2% 2% 47% 3% 3% 4% 56%,6.599
fasta,julia,1,1000000,919,7.086,297784,0,78% 28% 3% 3% 5% 5% 5% 3%,6.637
fasta,julia,1,1000000,919,7.079,297788,0,3% 5% 92% 4% 3% 8% 11% 3%,6.626
fasta,julia,1,1000000,919,6.964,314160,0,8% 3% 2% 49% 6% 4% 2% 52%,6.526
fasta,julia,1,1000000,919,7.064,296608,0,8% 54% 7% 6% 4% 48% 4% 9%,6.617
fasta,julia,1,1000000,919,6.943,303516,0,2% 3% 18% 7% 2% 2% 83% 6%,6.492
